round,method,score,best_score,params,controller_values,controller_counts
13,sh,0.9578799888964283,0.9763624800825129,"{'n_estimators': 100, 'max_depth': 15}","{'random': np.float64(0.9114350557018445), 'optuna': 0.9192892833120132, 'sh': np.float64(0.927585561253522), 'hb': np.float64(0.909779003322364)}","{'random': 3, 'optuna': 1, 'sh': 9, 'hb': 1}"
14,sh,0.9634752747252747,0.9763624800825129,"{'n_estimators': 200, 'max_depth': 15}","{'random': np.float64(0.9114350557018445), 'optuna': 0.9192892833120132, 'sh': np.float64(0.9275220600732247), 'hb': np.float64(0.909779003322364)}","{'random': 3, 'optuna': 1, 'sh': 10, 'hb': 1}"
15,sh,0.9577014174678569,0.9763624800825129,"{'n_estimators': 200, 'max_depth': 20}","{'random': np.float64(0.9114350557018445), 'optuna': 0.9192892833120132, 'sh': np.float64(0.926420312333451), 'hb': np.float64(0.909779003322364)}","{'random': 3, 'optuna': 1, 'sh': 11, 'hb': 1}"
0,random,0.9572936120485629,-1,"{'n_estimators': 50, 'max_depth': None}","{'random': np.float64(0.9145872240971258), 'optuna': 0.0, 'sh': 0.0, 'hb': 0.0}","{'random': 1, 'optuna': 0, 'sh': 0, 'hb': 0}"
1,optuna,0.9597196111802485,0.9572936120485629,"{'n_estimators': 77, 'max_depth': 20}","{'random': np.float64(0.9145872240971258), 'optuna': 0.919439222360497, 'sh': 0.0, 'hb': 0.0}","{'random': 1, 'optuna': 1, 'sh': 0, 'hb': 0}"
2,sh,0.9532771677235449,0.9597196111802485,"{'n_estimators': 100, 'max_depth': 20}","{'random': np.float64(0.9145872240971258), 'optuna': 0.919439222360497, 'sh': np.float64(0.9065543354470897), 'hb': 0.0}","{'random': 1, 'optuna': 1, 'sh': 1, 'hb': 0}"
3,hb,0.9595327334090987,0.9597196111802485,"{'n_estimators': 78, 'max_depth': 18}","{'random': np.float64(0.9145872240971258), 'optuna': 0.919439222360497, 'sh': np.float64(0.9065543354470897), 'hb': np.float64(0.9190654668181975)}","{'random': 1, 'optuna': 1, 'sh': 1, 'hb': 1}"
4,sh,0.9692390153119893,0.9597196111802485,"{'n_estimators': 100, 'max_depth': 20}","{'random': np.float64(0.9145872240971258), 'optuna': 0.919439222360497, 'sh': np.float64(0.9225161830355342), 'hb': np.float64(0.9190654668181975)}","{'random': 1, 'optuna': 1, 'sh': 2, 'hb': 1}"
5,random,0.9572978791453509,0.9692390153119893,"{'n_estimators': 50, 'max_depth': None}","{'random': np.float64(0.9145914911939138), 'optuna': 0.919439222360497, 'sh': np.float64(0.9225161830355342), 'hb': np.float64(0.9190654668181975)}","{'random': 2, 'optuna': 1, 'sh': 2, 'hb': 1}"
6,sh,0.9634752747252747,0.9692390153119893,"{'n_estimators': 300, 'max_depth': 15}","{'random': np.float64(0.9145914911939138), 'optuna': 0.919439222360497, 'sh': np.float64(0.9239943051738726), 'hb': np.float64(0.9190654668181975)}","{'random': 2, 'optuna': 1, 'sh': 3, 'hb': 1}"
